,Rho,Values
312, Value: 0.25,0.33
313, Value: 0.25,0.35
314, Value: 0.25,0.36
315, Value: 0.25,0.36
316, Value: 0.25,0.34
317, Value: 0.25,0.28
318, Value: 0.25,0.33
319, Value: 0.25,0.34
320, Value: 0.25,0.33
321, Value: 0.25,0.4
322, Value: 0.25,0.34
323, Value: 0.25,0.3
324, Value: 0.25,0.26
325, Value: 0.25,0.36
326, Value: 0.25,0.3
327, Value: 0.25,0.33
328, Value: 0.25,0.31
329, Value: 0.25,0.29
330, Value: 0.25,0.3
331, Value: 0.25,0.3
332, Value: 0.25,0.32
333, Value: 0.25,0.36
334, Value: 0.25,0.29
335, Value: 0.25,0.29
336, Value: 0.25,0.38
337, Value: 0.25,0.32
338, Value: 0.25,0.29
339, Value: 0.25,0.37
340, Value: 0.25,0.32
341, Value: 0.25,0.38
342, Value: 0.25,0.29
343, Value: 0.25,0.31
344, Value: 0.25,0.38
345, Value: 0.25,0.35
346, Value: 0.25,0.34
347, Value: 0.25,0.29
348, Value: 0.25,0.39
349, Value: 0.25,0.3
350, Value: 0.25,0.3
351, Value: 0.25,0.33
352, Value: 0.25,0.35
353, Value: 0.25,0.36
354, Value: 0.25,0.36
355, Value: 0.25,0.34
356, Value: 0.25,0.28
357, Value: 0.25,0.33
358, Value: 0.25,0.34
359, Value: 0.25,0.33
360, Value: 0.25,0.4
361, Value: 0.25,0.34
362, Value: 0.25,0.3
363, Value: 0.25,0.26
364, Value: 0.25,0.36
365, Value: 0.25,0.3
366, Value: 0.25,0.33
367, Value: 0.25,0.31
368, Value: 0.25,0.29
369, Value: 0.25,0.3
370, Value: 0.25,0.3
371, Value: 0.25,0.32
372, Value: 0.25,0.36
373, Value: 0.25,0.29
374, Value: 0.25,0.29
375, Value: 0.25,0.38
376, Value: 0.25,0.32
377, Value: 0.25,0.29
378, Value: 0.25,0.37
379, Value: 0.25,0.32
380, Value: 0.25,0.38
381, Value: 0.25,0.29
382, Value: 0.25,0.31
383, Value: 0.25,0.38
384, Value: 0.25,0.35
385, Value: 0.25,0.34
386, Value: 0.25,0.29
387, Value: 0.25,0.39
388, Value: 0.25,0.3
389, Value: 0.25,0.3
390, Value: 0.25,0.33
391, Value: 0.25,0.35
392, Value: 0.25,0.36
393, Value: 0.25,0.36
394, Value: 0.25,0.34
395, Value: 0.25,0.28
396, Value: 0.25,0.33
397, Value: 0.25,0.34
398, Value: 0.25,0.33
399, Value: 0.25,0.4
400, Value: 0.25,0.34
401, Value: 0.25,0.3
402, Value: 0.25,0.26
403, Value: 0.25,0.36
404, Value: 0.25,0.3
405, Value: 0.25,0.33
406, Value: 0.25,0.31
407, Value: 0.25,0.29
408, Value: 0.25,0.3
409, Value: 0.25,0.3
410, Value: 0.25,0.32
411, Value: 0.25,0.36
412, Value: 0.25,0.29
413, Value: 0.25,0.29
414, Value: 0.25,0.38
415, Value: 0.25,0.32
416, Value: 0.25,0.29
417, Value: 0.25,0.37
418, Value: 0.25,0.32
419, Value: 0.25,0.38
420, Value: 0.25,0.29
421, Value: 0.25,0.31
422, Value: 0.25,0.38
423, Value: 0.25,0.35
424, Value: 0.25,0.34
425, Value: 0.25,0.29
426, Value: 0.25,0.39
427, Value: 0.25,0.3
428, Value: 0.25,0.3
429, Value: 0.25,0.33
430, Value: 0.25,0.35
431, Value: 0.25,0.36
432, Value: 0.25,0.36
433, Value: 0.25,0.34
434, Value: 0.25,0.28
435, Value: 0.25,0.33
436, Value: 0.25,0.34
437, Value: 0.25,0.33
438, Value: 0.25,0.4
439, Value: 0.25,0.34
440, Value: 0.25,0.3
441, Value: 0.25,0.26
442, Value: 0.25,0.36
443, Value: 0.25,0.3
444, Value: 0.25,0.33
445, Value: 0.25,0.31
446, Value: 0.25,0.29
447, Value: 0.25,0.3
448, Value: 0.25,0.3
449, Value: 0.25,0.32
450, Value: 0.25,0.36
451, Value: 0.25,0.29
452, Value: 0.25,0.29
453, Value: 0.25,0.38
454, Value: 0.25,0.32
455, Value: 0.25,0.29
456, Value: 0.25,0.37
457, Value: 0.25,0.32
458, Value: 0.25,0.38
459, Value: 0.25,0.29
460, Value: 0.25,0.31
461, Value: 0.25,0.38
462, Value: 0.25,0.35
463, Value: 0.25,0.34
464, Value: 0.25,0.29
465, Value: 0.25,0.39
466, Value: 0.25,0.3
467, Value: 0.25,0.3
468, Value: 0.25,0.33
469, Value: 0.25,0.35
470, Value: 0.25,0.36
471, Value: 0.25,0.36
472, Value: 0.25,0.34
473, Value: 0.25,0.28
474, Value: 0.25,0.33
475, Value: 0.25,0.34
476, Value: 0.25,0.33
477, Value: 0.25,0.4
478, Value: 0.25,0.34
479, Value: 0.25,0.3
480, Value: 0.25,0.26
481, Value: 0.25,0.36
482, Value: 0.25,0.3
483, Value: 0.25,0.33
484, Value: 0.25,0.31
485, Value: 0.25,0.29
486, Value: 0.25,0.3
487, Value: 0.25,0.3
488, Value: 0.25,0.32
489, Value: 0.25,0.36
490, Value: 0.25,0.29
491, Value: 0.25,0.29
492, Value: 0.25,0.38
493, Value: 0.25,0.32
494, Value: 0.25,0.29
495, Value: 0.25,0.37
496, Value: 0.25,0.32
497, Value: 0.25,0.38
498, Value: 0.25,0.29
499, Value: 0.25,0.31
500, Value: 0.2,0.27
501, Value: 0.2,0.29
502, Value: 0.2,0.25
503, Value: 0.2,0.22
504, Value: 0.2,0.28
505, Value: 0.2,0.24
506, Value: 0.2,0.23
507, Value: 0.2,0.24
508, Value: 0.2,0.25
509, Value: 0.2,0.25
510, Value: 0.2,0.26
511, Value: 0.2,0.26
512, Value: 0.2,0.2
513, Value: 0.2,0.26
514, Value: 0.2,0.23
515, Value: 0.2,0.25
516, Value: 0.2,0.29
517, Value: 0.2,0.25
518, Value: 0.2,0.26
519, Value: 0.2,0.21
520, Value: 0.2,0.23
521, Value: 0.2,0.27
522, Value: 0.2,0.25
523, Value: 0.2,0.25
524, Value: 0.2,0.23
525, Value: 0.2,0.2
526, Value: 0.2,0.25
527, Value: 0.2,0.25
528, Value: 0.2,0.28
529, Value: 0.2,0.2
530, Value: 0.2,0.22
531, Value: 0.2,0.28
532, Value: 0.2,0.24
533, Value: 0.2,0.22
534, Value: 0.2,0.26
535, Value: 0.2,0.23
536, Value: 0.2,0.28
537, Value: 0.2,0.22
538, Value: 0.2,0.24
539, Value: 0.2,0.27
540, Value: 0.2,0.29
541, Value: 0.2,0.25
542, Value: 0.2,0.22
543, Value: 0.2,0.28
544, Value: 0.2,0.24
545, Value: 0.2,0.23
546, Value: 0.2,0.24
547, Value: 0.2,0.25
548, Value: 0.2,0.25
549, Value: 0.2,0.26
550, Value: 0.2,0.26
551, Value: 0.2,0.2
552, Value: 0.2,0.26
553, Value: 0.2,0.23
554, Value: 0.2,0.25
555, Value: 0.2,0.29
556, Value: 0.2,0.25
557, Value: 0.2,0.26
558, Value: 0.2,0.21
559, Value: 0.2,0.23
560, Value: 0.2,0.27
561, Value: 0.2,0.25
562, Value: 0.2,0.25
563, Value: 0.2,0.23
564, Value: 0.2,0.2
565, Value: 0.2,0.25
566, Value: 0.2,0.25
567, Value: 0.2,0.28
568, Value: 0.2,0.2
569, Value: 0.2,0.22
570, Value: 0.2,0.28
571, Value: 0.2,0.24
572, Value: 0.2,0.22
573, Value: 0.2,0.26
574, Value: 0.2,0.23
575, Value: 0.2,0.28
576, Value: 0.2,0.22
577, Value: 0.2,0.24
578, Value: 0.2,0.27
579, Value: 0.2,0.29
580, Value: 0.2,0.25
581, Value: 0.2,0.22
582, Value: 0.2,0.28
583, Value: 0.2,0.24
584, Value: 0.2,0.23
585, Value: 0.2,0.24
586, Value: 0.2,0.25
587, Value: 0.2,0.25
588, Value: 0.2,0.26
589, Value: 0.2,0.26
590, Value: 0.2,0.2
591, Value: 0.2,0.26
592, Value: 0.2,0.23
593, Value: 0.2,0.25
594, Value: 0.2,0.29
595, Value: 0.2,0.25
596, Value: 0.2,0.26
597, Value: 0.2,0.21
598, Value: 0.2,0.23
599, Value: 0.2,0.27
600, Value: 0.2,0.25
601, Value: 0.2,0.25
602, Value: 0.2,0.23
603, Value: 0.2,0.2
604, Value: 0.2,0.25
605, Value: 0.2,0.25
606, Value: 0.2,0.28
607, Value: 0.2,0.2
608, Value: 0.2,0.22
609, Value: 0.2,0.28
610, Value: 0.2,0.24
611, Value: 0.2,0.22
612, Value: 0.2,0.26
613, Value: 0.2,0.23
614, Value: 0.2,0.28
615, Value: 0.2,0.22
616, Value: 0.2,0.24
617, Value: 0.2,0.27
618, Value: 0.2,0.29
619, Value: 0.2,0.25
620, Value: 0.2,0.22
621, Value: 0.2,0.28
622, Value: 0.2,0.24
623, Value: 0.2,0.23
624, Value: 0.2,0.24
625, Value: 0.2,0.25
626, Value: 0.2,0.25
627, Value: 0.2,0.26
628, Value: 0.2,0.26
629, Value: 0.2,0.2
630, Value: 0.2,0.26
631, Value: 0.2,0.23
632, Value: 0.2,0.25
633, Value: 0.2,0.29
634, Value: 0.2,0.25
635, Value: 0.2,0.26
636, Value: 0.2,0.21
637, Value: 0.2,0.23
638, Value: 0.2,0.27
639, Value: 0.2,0.25
640, Value: 0.2,0.25
641, Value: 0.2,0.23
642, Value: 0.2,0.2
643, Value: 0.2,0.25
644, Value: 0.2,0.25
645, Value: 0.2,0.28
646, Value: 0.2,0.2
647, Value: 0.2,0.22
648, Value: 0.2,0.28
649, Value: 0.2,0.24
650, Value: 0.2,0.22
651, Value: 0.2,0.26
652, Value: 0.2,0.23
653, Value: 0.2,0.28
654, Value: 0.2,0.22
655, Value: 0.2,0.24
656, Value: 0.2,0.27
657, Value: 0.2,0.29
658, Value: 0.2,0.25
659, Value: 0.2,0.22
660, Value: 0.2,0.28
661, Value: 0.2,0.24
662, Value: 0.2,0.23
663, Value: 0.2,0.24
664, Value: 0.2,0.25
665, Value: 0.2,0.25
666, Value: 0.2,0.26
667, Value: 0.2,0.26
668, Value: 0.2,0.2
669, Value: 0.2,0.26
670, Value: 0.2,0.23
671, Value: 0.2,0.25
672, Value: 0.2,0.29
673, Value: 0.2,0.25
674, Value: 0.2,0.26
675, Value: 0.2,0.21
676, Value: 0.2,0.23
677, Value: 0.2,0.27
678, Value: 0.2,0.25
679, Value: 0.2,0.25
680, Value: 0.2,0.23
681, Value: 0.2,0.2
682, Value: 0.2,0.25
683, Value: 0.2,0.25
684, Value: 0.2,0.28
685, Value: 0.2,0.2
686, Value: 0.2,0.22
687, Value: 0.2,0.28
688, Value: 0.2,0.24
689, Value: 0.2,0.22
690, Value: 0.2,0.26
691, Value: 0.2,0.23
692, Value: 0.2,0.28
693, Value: 0.2,0.22
694, Value: 0.2,0.24
695, Value: 0.2,0.27
696, Value: 0.2,0.29
697, Value: 0.2,0.25
698, Value: 0.2,0.22
699, Value: 0.2,0.28
700, Value: 0.2,0.24
701, Value: 0.2,0.23
702, Value: 0.2,0.24
703, Value: 0.2,0.25
704, Value: 0.2,0.25
705, Value: 0.2,0.26
706, Value: 0.2,0.26
707, Value: 0.2,0.2
708, Value: 0.2,0.26
709, Value: 0.2,0.23
710, Value: 0.2,0.25
711, Value: 0.2,0.29
712, Value: 0.2,0.25
713, Value: 0.2,0.26
714, Value: 0.2,0.21
715, Value: 0.2,0.23
716, Value: 0.2,0.27
717, Value: 0.2,0.25
718, Value: 0.2,0.25
719, Value: 0.2,0.23
720, Value: 0.2,0.2
721, Value: 0.2,0.25
722, Value: 0.2,0.25
723, Value: 0.2,0.28
724, Value: 0.2,0.2
725, Value: 0.2,0.22
726, Value: 0.2,0.28
727, Value: 0.2,0.24
728, Value: 0.2,0.22
729, Value: 0.2,0.26
730, Value: 0.2,0.23
731, Value: 0.2,0.28
732, Value: 0.2,0.22
733, Value: 0.2,0.24
734, Value: 0.2,0.27
735, Value: 0.2,0.29
736, Value: 0.2,0.25
737, Value: 0.2,0.22
738, Value: 0.2,0.28
739, Value: 0.2,0.24
740, Value: 0.2,0.23
741, Value: 0.2,0.24
742, Value: 0.2,0.25
743, Value: 0.2,0.25
744, Value: 0.2,0.26
745, Value: 0.2,0.26
746, Value: 0.2,0.2
747, Value: 0.2,0.26
748, Value: 0.2,0.23
749, Value: 0.2,0.25
750, Value: 0.2,0.29
751, Value: 0.2,0.25
752, Value: 0.2,0.26
753, Value: 0.2,0.21
754, Value: 0.2,0.23
755, Value: 0.2,0.27
756, Value: 0.2,0.25
757, Value: 0.2,0.25
758, Value: 0.2,0.23
759, Value: 0.2,0.2
760, Value: 0.2,0.25
761, Value: 0.2,0.25
762, Value: 0.2,0.28
763, Value: 0.2,0.2
764, Value: 0.2,0.22
765, Value: 0.2,0.28
766, Value: 0.2,0.24
767, Value: 0.2,0.22
768, Value: 0.2,0.26
769, Value: 0.2,0.23
770, Value: 0.2,0.28
771, Value: 0.2,0.22
772, Value: 0.2,0.24
773, Value: 0.2,0.27
774, Value: 0.2,0.29
775, Value: 0.2,0.25
776, Value: 0.2,0.22
777, Value: 0.2,0.28
778, Value: 0.2,0.24
779, Value: 0.2,0.23
780, Value: 0.2,0.24
781, Value: 0.2,0.25
782, Value: 0.2,0.25
783, Value: 0.2,0.26
784, Value: 0.2,0.26
785, Value: 0.2,0.2
786, Value: 0.2,0.26
787, Value: 0.2,0.23
788, Value: 0.2,0.25
789, Value: 0.2,0.29
790, Value: 0.2,0.25
791, Value: 0.2,0.26
792, Value: 0.2,0.21
793, Value: 0.2,0.23
794, Value: 0.2,0.27
795, Value: 0.2,0.25
796, Value: 0.2,0.25
797, Value: 0.2,0.23
798, Value: 0.2,0.2
799, Value: 0.2,0.25
800, Value: 0.2,0.25
801, Value: 0.2,0.28
802, Value: 0.2,0.2
803, Value: 0.2,0.22
804, Value: 0.2,0.28
805, Value: 0.2,0.24
806, Value: 0.2,0.22
807, Value: 0.2,0.26
808, Value: 0.2,0.23
809, Value: 0.2,0.28
810, Value: 0.2,0.22
811, Value: 0.2,0.24
812, Value: 0.2,0.27
813, Value: 0.2,0.29
814, Value: 0.2,0.25
815, Value: 0.2,0.22
816, Value: 0.2,0.28
817, Value: 0.2,0.24
818, Value: 0.2,0.23
819, Value: 0.2,0.24
820, Value: 0.2,0.25
821, Value: 0.2,0.25
822, Value: 0.2,0.26
823, Value: 0.2,0.26
824, Value: 0.2,0.2
825, Value: 0.2,0.26
826, Value: 0.2,0.23
827, Value: 0.2,0.25
828, Value: 0.2,0.29
829, Value: 0.2,0.25
830, Value: 0.2,0.26
831, Value: 0.2,0.21
832, Value: 0.2,0.23
833, Value: 0.2,0.27
834, Value: 0.2,0.25
835, Value: 0.2,0.25
836, Value: 0.2,0.23
837, Value: 0.2,0.2
838, Value: 0.2,0.25
839, Value: 0.2,0.25
840, Value: 0.2,0.28
841, Value: 0.2,0.2
842, Value: 0.2,0.22
843, Value: 0.2,0.28
844, Value: 0.2,0.24
845, Value: 0.2,0.22
846, Value: 0.2,0.26
847, Value: 0.2,0.23
848, Value: 0.2,0.28
849, Value: 0.2,0.22
850, Value: 0.2,0.24
851, Value: 0.2,0.27
852, Value: 0.2,0.29
853, Value: 0.2,0.25
854, Value: 0.2,0.22
855, Value: 0.2,0.28
856, Value: 0.2,0.24
857, Value: 0.2,0.23
858, Value: 0.2,0.24
859, Value: 0.2,0.25
860, Value: 0.2,0.25
861, Value: 0.2,0.26
862, Value: 0.2,0.26
863, Value: 0.2,0.2
864, Value: 0.2,0.26
865, Value: 0.2,0.23
866, Value: 0.2,0.25
867, Value: 0.2,0.29
868, Value: 0.2,0.25
869, Value: 0.2,0.26
870, Value: 0.2,0.21
871, Value: 0.2,0.23
872, Value: 0.2,0.27
873, Value: 0.2,0.25
874, Value: 0.2,0.25
875, Value: 0.2,0.23
876, Value: 0.2,0.2
877, Value: 0.2,0.25
878, Value: 0.2,0.25
879, Value: 0.2,0.28
880, Value: 0.2,0.2
881, Value: 0.2,0.22
882, Value: 0.2,0.28
883, Value: 0.2,0.24
884, Value: 0.2,0.22
885, Value: 0.2,0.26
886, Value: 0.2,0.23
887, Value: 0.2,0.28
888, Value: 0.2,0.22
889, Value: 0.2,0.24
890, Value: 0.2,0.27
891, Value: 0.2,0.29
892, Value: 0.2,0.25
893, Value: 0.2,0.22
894, Value: 0.2,0.28
895, Value: 0.2,0.24
896, Value: 0.2,0.23
897, Value: 0.2,0.24
898, Value: 0.2,0.25
899, Value: 0.2,0.25
900, Value: 0.2,0.26
901, Value: 0.2,0.26
902, Value: 0.2,0.2
903, Value: 0.2,0.26
904, Value: 0.2,0.23
905, Value: 0.2,0.25
906, Value: 0.2,0.29
907, Value: 0.2,0.25
908, Value: 0.2,0.26
909, Value: 0.2,0.21
910, Value: 0.2,0.23
911, Value: 0.2,0.27
912, Value: 0.2,0.25
913, Value: 0.2,0.25
914, Value: 0.2,0.23
915, Value: 0.2,0.2
916, Value: 0.2,0.25
917, Value: 0.2,0.25
918, Value: 0.2,0.28
919, Value: 0.2,0.2
920, Value: 0.2,0.22
921, Value: 0.2,0.28
922, Value: 0.2,0.24
923, Value: 0.2,0.22
924, Value: 0.2,0.26
925, Value: 0.2,0.23
926, Value: 0.2,0.28
927, Value: 0.2,0.22
928, Value: 0.2,0.24
929, Value: 0.2,0.27
930, Value: 0.2,0.29
931, Value: 0.2,0.25
932, Value: 0.2,0.22
933, Value: 0.2,0.28
934, Value: 0.2,0.24
935, Value: 0.2,0.23
936, Value: 0.2,0.24
937, Value: 0.2,0.25
938, Value: 0.2,0.25
939, Value: 0.2,0.26
940, Value: 0.2,0.26
941, Value: 0.2,0.2
942, Value: 0.2,0.26
943, Value: 0.2,0.23
944, Value: 0.2,0.25
945, Value: 0.2,0.29
946, Value: 0.2,0.25
947, Value: 0.2,0.26
948, Value: 0.2,0.21
949, Value: 0.2,0.23
950, Value: 0.2,0.27
951, Value: 0.2,0.25
952, Value: 0.2,0.25
953, Value: 0.2,0.23
954, Value: 0.2,0.2
955, Value: 0.2,0.25
956, Value: 0.2,0.25
957, Value: 0.2,0.28
958, Value: 0.2,0.2
959, Value: 0.2,0.22
960, Value: 0.2,0.28
961, Value: 0.2,0.24
962, Value: 0.2,0.22
963, Value: 0.2,0.26
964, Value: 0.2,0.23
965, Value: 0.2,0.28
966, Value: 0.2,0.22
967, Value: 0.2,0.24
968, Value: 0.2,0.27
969, Value: 0.2,0.29
970, Value: 0.2,0.25
971, Value: 0.2,0.22
972, Value: 0.2,0.28
973, Value: 0.2,0.24
974, Value: 0.2,0.23
975, Value: 0.2,0.24
976, Value: 0.2,0.25
977, Value: 0.2,0.25
978, Value: 0.2,0.26
979, Value: 0.2,0.26
980, Value: 0.2,0.2
981, Value: 0.2,0.26
982, Value: 0.2,0.23
983, Value: 0.2,0.25
984, Value: 0.2,0.29
985, Value: 0.2,0.25
986, Value: 0.2,0.26
987, Value: 0.2,0.21
988, Value: 0.2,0.23
989, Value: 0.2,0.27
990, Value: 0.2,0.25
991, Value: 0.2,0.25
992, Value: 0.2,0.23
993, Value: 0.2,0.2
994, Value: 0.2,0.25
995, Value: 0.2,0.25
996, Value: 0.2,0.28
997, Value: 0.2,0.2
